subj	itemID	cond	Acc
S05	i072	RD	0
S05	i073	UD	1
S05	i074	UC	1
S05	i075	UC	1
S05	i076	UC	1
S05	i077	UD	0
S05	i078	RD	1
S05	i079	UC	1
S05	i080	UD	1
S05	i081	UC	1
S05	i082	UC	1
S05	i083	RC	1
S05	i084	RD	1
S05	i085	UC	1
S05	i086	RD	1
S05	i087	UC	1
S05	i088	UC	1
S05	i089	RC	1
S05	i090	UD	1
S05	i091	RC	1
S05	i092	UD	1
S05	i093	RD	1
S05	i094	RC	1
S05	i095	UD	1
S05	i096	RD	1
S05	i097	RD	1
S05	i098	RC	1
S05	i099	RC	1
S05	i100	RC	1
S05	i101	RD	1
S05	i102	UD	1
S05	i103	UD	1
S05	i104	UD	1
S05	i105	UD	1
S05	i106	RC	1
S05	i107	RD	1
S05	i108	RD	1
S05	i109	RD	1
S05	i110	UD	1
S05	i111	UC	1
S05	i112	RD	0
S05	i113	RD	1
S05	i114	RD	1
S05	i115	RC	1
S05	i116	RC	1
S05	i117	RD	1
S05	i118	RC	1
S05	i119	UC	1
S05	i120	UD	1
S06	i001	UC	1
S06	i002	RD	1
S06	i003	RC	1
S06	i004	RD	1
S06	i005	RD	1
S06	i006	RC	1
S06	i007	RD	1
S06	i008	UC	1
S06	i009	UD	1
S06	i010	UC	1
S06	i011	RC	1
S06	i012	RD	1
S06	i013	UC	1
S06	i014	UD	1
S06	i015	RC	1
S06	i016	RD	1
S06	i017	RC	1
S06	i018	RD	1
S06	i019	RD	1
S06	i020	UC	1
S06	i021	RC	1
S06	i022	UC	1
S06	i023	RD	1
S06	i024	UD	1
S06	i025	UC	1
S06	i026	RD	1
S06	i027	RD	1
S06	i028	UC	1
S06	i029	RC	1
S06	i030	UD	1
S06	i031	RD	1
S06	i032	RD	1
S06	i033	UC	1
S06	i034	UD	1
S06	i035	UD	1
S06	i036	UD	1
S06	i037	UD	1
S06	i038	UD	1
S06	i039	UD	0
S06	i040	RC	1
S06	i041	UC	0
S06	i042	RC	1
S06	i043	RC	1
S06	i044	UD	1
S06	i045	UC	1
S06	i046	UD	0
S06	i047	RD	1
S06	i048	RC	1
S06	i049	UD	1
S06	i050	UD	1
S06	i051	RC	1
S06	i052	RC	1
S06	i053	UD	1
S06	i054	UC	1
S06	i055	UC	1
S06	i056	UD	1
S06	i057	RD	1
S06	i058	RC	1
S06	i059	RC	1
S06	i060	UD	1
S06	i061	UD	1
S06	i062	UC	1
S06	i063	RC	1
S06	i064	UD	1
S06	i065	RD	1
S06	i066	UC	1
S06	i067	RC	1
S06	i068	RD	1
S06	i069	RC	0
S06	i070	RD	1
S06	i071	RC	0
S06	i072	UC	1
S06	i073	RD	1
S06	i074	RC	1
S06	i075	RC	1
S06	i076	RC	1
S06	i077	RD	1
S06	i078	UC	1
S06	i079	RC	1
S06	i080	RD	1
S06	i081	RC	1
S06	i082	RC	1
S06	i083	UD	1
S06	i084	UC	1
S06	i085	RC	1
S06	i086	UC	1
S06	i087	RC	1
S06	i088	RC	1
S06	i089	UD	1
S06	i090	RD	1
S06	i091	UD	1
S06	i092	RD	1
S06	i093	UC	0
S06	i094	UD	1
S06	i095	RD	1
S06	i096	UC	1
S06	i097	UC	1
S06	i098	UD	1
S06	i099	UD	1
S06	i100	UD	1
S06	i101	UC	0
