S CC TrialNum Contrast TargetType PrimeRelation PrimeShown TargetShown RT score
S1 cc1 424 Clear NW Unr spice RAIM 615 C
S1 cc1 425 Degraded HF Unr vary SHOW 637 C
S1 cc1 426 Degraded LF Rel drum STICK 562 C
S1 cc1 427 Degraded LF Rel seam PANTS 443 C
S1 cc1 428 Degraded HF Unr guide GIRL 537 C
S1 cc1 429 Degraded LF Rel hawk EAGLE 450 C
S1 cc1 430 Degraded LF Unr flannel SEAFOOD 479 C
S1 cc1 431 Clear NW Unr beach VARD 763 C
S1 cc1 432 Clear NW Unr boat VIRMER 587 C
S1 cc1 433 Degraded NW Unr beer LURB 665 C
S1 cc1 434 Clear HF Unr prove CHANGE 461 C
S1 cc1 435 Degraded HF Unr bring BEAR 714 C
S1 cc1 436 Degraded HF Unr wager ARMY 525 C
S1 cc1 437 Clear LF Unr cobra RULER 503 C
S1 cc1 438 Clear HF Rel hose WATER 466 C
S1 cc1 439 Degraded HF Unr term MORNING 510 C
S1 cc1 440 Clear HF Unr design SAME 425 C
S1 cc1 441 Degraded HF Unr scalp BOAT 440 C
S1 cc1 442 Degraded NW Unr stud JACE 533 C
S1 cc1 443 Clear HF Unr scout LEAD 591 C
S1 cc1 444 Degraded HF Unr stair SHORT 631 C
S1 cc1 445 Degraded LF Unr fragile THREAD 477 C
S1 cc1 446 Degraded HF Rel gender FEMALE 442 C
S1 cc1 447 Clear LF Rel barrel MONKEY 375 C
S1 cc1 448 Clear NW Unr gentle UNKOOM 536 C
S1 cc1 449 Clear LF Unr gain BELL 578 C
S1 cc1 450 Degraded HF Unr exhale HANDS 474 C
S1 cc1 451 Clear NW Unr doctor FRIMER 581 C
S1 cc1 452 Clear NW Unr icing CONTRANAIM 621 C
S1 cc1 453 Degraded LF Rel send MAIL 532 C
S1 cc1 454 Degraded NW Unr jacket GROPEL 606 C
S1 cc1 455 Degraded HF Unr package FRIEND 484 C
S1 cc1 456 Clear NW Unr worst NAKE 641 C
S1 cc1 457 Clear NW Unr frame FARDED 678 C
S1 cc1 458 Clear NW Unr wallet FRAGER 586 C
S1 cc1 459 Degraded HF Unr meaning WEST 577 C
S1 cc1 460 Clear LF Unr waves NERVOUS 537 C
S1 cc1 461 Clear HF Unr cuddle TAKE 515 C
S1 cc1 462 Degraded NW Unr sparrow WERNED 509 C
S1 cc1 463 Clear LF Rel grain SAND 551 C
S1 cc1 464 Degraded LF Rel paste STICKY 625 C
S1 cc1 465 Degraded LF Rel towel SHOWER 487 C
S1 cc1 466 Clear HF Rel moment SECOND 547 C
S1 cc1 467 Clear NW Unr lose TRANSVAME 444 C
S1 cc1 468 Clear NW Unr drawing KENTED 488 C
S1 cc1 469 Clear NW Unr spook INTHID 485 C
S1 cc1 470 Clear NW Unr punish UNHURF 513 C
S1 cc1 471 Degraded LF Unr force SCARE 635 C
S1 cc1 472 Clear HF Unr nails DESTROY 512 C
S1 cc1 473 Clear HF Rel beam LIGHT 443 C
S1 cc1 474 Clear NW Unr desire KOOF 536 C
S1 cc1 475 Degraded NW Unr watch UNFERO 547 C
S1 cc1 476 Clear NW Unr alike BURFED 395 E
S1 cc1 477 Clear HF Unr donor BACK 546 C
